"Gene","logFC_Condition","adjP_Condition","logFC_Platform","Ec","Ep","Em","Es","Ex","AUC_Microarray","AUC_RNAseq","BIOS_Rank"
"CIZ1",0.285090362646045,6.14073313262259e-06,1.25341407015074e-15,0.0100311020671402,0.999925985999067,0,0,NA,NA,NA,NA
"FAM133B",0.279075547216117,6.15559914861459e-06,-9.58165422515232e-16,0.00981748811893291,0.999924320589452,0,0,NA,NA,NA,NA
"RAPGEF1",-0.374846990944329,6.28945171110781e-06,6.79628962481735e-15,0.0131629512066398,0.999944488628261,0,0,NA,NA,NA,NA
"CCDC28A",-0.387208643976923,6.30254268340886e-06,-2.73244267292861e-15,0.0135946766495134,0.99994636483816,0,0,NA,NA,NA,NA
"RBM3",0.440314833021142,6.34551015781466e-06,3.958003097076e-15,0.0154504334013083,0.999953226682098,0,0,NA,NA,NA,NA
"NUDT7",-0.47538357700339,6.39435680279574e-06,-1.43724813377285e-15,0.0166702902313902,0.999956917452308,0,0,NA,NA,NA,NA
"PIEZO1",0.439657510346494,6.49049431212085e-06,-2.28121360767435e-15,0.0153982464819406,0.999953151881594,0,0,NA,NA,NA,NA
"ZHX1",-0.437786708838441,6.55058044076088e-06,2.31881602977887e-15,0.0153208966240539,0.999952937762777,0,0,NA,NA,NA,NA
"BSDC1",-0.301497256587973,6.69761714514084e-06,1.47067250897687e-15,0.0105316528220587,0.999930190976552,0,0,NA,NA,NA,NA
"NDUFB7",-0.320117620377685,6.70720456139976e-06,-2.91906210115106e-15,0.011180741377758,0.999934441070984,0,0,NA,NA,NA,NA
"RNF7",-0.289963675792604,6.72144924849049e-06,-1.92190157423113e-16,0.0101257515135943,0.999927284676708,0,0,NA,NA,NA,NA
"HYOU1",0.496882670710524,6.74447008183126e-06,6.92998712563342e-15,0.0173465385896835,0.999958922508083,0,0,NA,NA,NA,NA
"RALGAPB",0.393855571334961,7.2848573943806e-06,-4.24768101551084e-17,0.0136607819244783,0.999947324996613,0,0,NA,NA,NA,NA
"PPT2",0.321610852296655,7.31776676506732e-06,-3.42042772921135e-15,0.0111507416724528,0.999934760585363,0,0,NA,NA,NA,NA
"PHRF1",0.258859095554705,7.33435018028373e-06,-8.24467921699153e-16,0.00897332395501692,0.999918155737481,0,0,NA,NA,NA,NA
"SEC11C",-0.435141091008258,7.43289728291654e-06,-1.99432105383984e-15,0.0150670927733715,0.999952631821131,0,0,NA,NA,NA,NA
"CLN6",0.467135022939379,7.61575267663763e-06,1.53195053018424e-15,0.0161416205936724,0.999956099184338,0,0,NA,NA,NA,NA
"SMURF1",0.402137440159283,7.97103051000242e-06,4.06663231648907e-15,0.013841901576803,0.999948476912451,0,0,NA,NA,NA,NA
"CLOCK",0.447866406549058,8.45160226381488e-06,3.19759856118455e-15,0.0153390557250894,0.999954070269109,0,0,NA,NA,NA,NA
"SFXN4",0.409997413697171,8.57309427534516e-06,-9.35882505712552e-16,0.0140249165048962,0.999949527106516,0,0,NA,NA,NA,NA
"NDUFA2",-0.332410036809799,9.27413904722195e-06,-4.00256893068136e-15,0.0112942528402876,0.999936985890885,0,0,NA,NA,NA,NA
"MAN2B1",-0.415558069076954,9.34864986124052e-06,5.04708065580698e-15,0.0141096128214914,0.999950246086959,0,0,NA,NA,NA,NA
"FAM98C",-0.40687437261882,9.43192796240415e-06,-2.39541355628808e-15,0.0138041918816143,0.999949114685896,0,0,NA,NA,NA,NA
"PPARA",-0.475895986555771,9.53144460562685e-06,3.05833033116781e-15,0.0161312711383153,0.99995696734819,0,0,NA,NA,NA,NA
"CHMP7",-0.429773229576278,9.63766691848499e-06,1.65450657259898e-15,0.0145538996620533,0.999951999502482,0,0,NA,NA,NA,NA
"EIF4G1",0.36096412452936,9.72298352590134e-06,4.47886627733864e-15,0.0122144109718644,0.99994222833464,0,0,NA,NA,NA,NA
"TRIM16",0.453360156386556,1.00692840208646e-05,1.27012625775275e-15,0.015294415282844,0.999954666317274,0,0,NA,NA,NA,NA
"SNHG9",0.417595524947509,1.00722857981362e-05,-8.98001547147997e-15,0.0140875060011634,0.999950504732142,0,0,NA,NA,NA,NA
"LANCL1",0.417287539169833,1.01001760778331e-05,1.60437000979295e-15,0.0140737329876561,0.999950465797233,0,0,NA,NA,NA,NA
"API5",0.305124722393563,1.01997547627763e-05,2.93995233565357e-15,0.0102820739315428,0.999931059628539,0,0,NA,NA,NA,NA
"TMEM205",0.388391116190852,1.02291635625135e-05,-3.84937387766294e-15,0.0130847010420919,0.999946538051121,0,0,NA,NA,NA,NA
"SLK",-0.332148096449392,1.03973970911971e-05,2.85778407994369e-15,0.0111740157851229,0.999936933627271,0,0,NA,NA,NA,NA
"USP5",0.391387313051986,1.06667614804907e-05,3.67668127244217e-15,0.0131375709477844,0.999946972259565,0,0,NA,NA,NA,NA
"CREG1",0.341041238816915,1.0706586621978e-05,-9.80448339317912e-16,0.0114438942327167,0.99993866312581,0,0,NA,NA,NA,NA
"CTC1",-0.413419771951998,1.07177046419598e-05,1.72971141680802e-15,0.0138713520562793,0.99994997189868,0,0,NA,NA,NA,NA
"HSF1",0.326697759821838,1.10783020429949e-05,-4.79082711257616e-16,0.0109298963198737,0.999935827133751,0,0,NA,NA,NA,NA
"FNTA",0.373135634279657,1.13254395358223e-05,-5.57072920066996e-17,0.0124593693260776,0.999944219088409,0,0,NA,NA,NA,NA
"EP400",0.434791437569806,1.13269011493181e-05,3.46499356281671e-15,0.0145179533090659,0.999952591108266,0,0,NA,NA,NA,NA
"PSTK",0.416161169633109,1.13569618120019e-05,-1.12528729853533e-15,0.0138926432297098,0.999950322911809,0,0,NA,NA,NA,NA
"VAC14",0.36627102906022,1.14854501243189e-05,3.06390106036848e-15,0.012215086904658,0.999943112591609,0,0,NA,NA,NA,NA
"MED30",0.436558530171666,1.14938289912486e-05,-2.74079876672962e-15,0.0145582316682726,0.999952796196195,0,0,NA,NA,NA,NA
"ITSN1",-0.449528011316519,1.16031933451436e-05,3.05275960196714e-15,0.014978252583388,0.999954252082865,0,0,NA,NA,NA,NA
"COX7A2",-0.369443556670763,1.173820897806e-05,-2.91627673655072e-15,0.0122973107103431,0.999943629077617,0,0,NA,NA,NA,NA
"HBP1",-0.363158358258201,1.187198863308e-05,1.94975522023448e-16,0.0120760347670108,0.999942597080269,0,0,NA,NA,NA,NA
"MXD4",-0.440052718397154,1.19579178986467e-05,2.05002834584654e-15,0.0146236830089133,0.999953196881425,0,0,NA,NA,NA,NA
"CTNNB1",0.331468985768488,1.21090530485893e-05,4.84653440458286e-15,0.0110030587675871,0.999936797742785,0,0,NA,NA,NA,NA
"PLXNB2",-0.328163761102906,1.22139335402369e-05,3.93293481567299e-15,0.0108850445269873,0.999936128365509,0,0,NA,NA,NA,NA
"BDP1",0.394127378128242,1.24569264304976e-05,1.42610667537151e-15,0.013050263772465,0.999947363570178,0,0,NA,NA,NA,NA
"RPL34",0.280070379990598,1.25164576392276e-05,-2.67952074552225e-15,0.00926971718717661,0.999924600980389,0,0,NA,NA,NA,NA
"MRPS28",0.344380735936271,1.26565870647338e-05,-4.57356867375003e-15,0.01138700767166,0.999939289507138,0,0,NA,NA,NA,NA
"LUZP1",-0.471886227858363,1.27549683959968e-05,3.87165679446562e-15,0.0155922853743823,0.999956574003514,0,0,NA,NA,NA,NA
"POLR2B",0.303869262512516,1.30265544496373e-05,2.38427209788674e-15,0.0100218188676831,0.999930761336316,0,0,NA,NA,NA,NA
"LDLRAP1",-0.487810846505435,1.31697305864519e-05,2.3174233474787e-15,0.0160727053977672,0.999958098002461,0,0,NA,NA,NA,NA
"GPATCH8",0.263080250734303,1.3177933267494e-05,2.96084257015608e-15,0.00866765695462264,0.999919521208312,0,0,NA,NA,NA,NA
"KDM6A",-0.426646049288641,1.3202959705891e-05,1.55423344698692e-15,0.014054256038821,0.999951623794895,0,0,NA,NA,NA,NA
"ANKIB1",0.363883381911538,1.33119357579945e-05,2.00128446534068e-15,0.0119780050334651,0.999942717944363,0,0,NA,NA,NA,NA
"FAM120C",0.371664425978359,1.39091102962203e-05,-1.62108219739496e-15,0.0121863146392664,0.999943985387472,0,0,NA,NA,NA,NA
"MRPL11",0.326248891876086,1.4174423358951e-05,-1.8717650114251e-15,0.0106791335626403,0.999935734359525,0,0,NA,NA,NA,NA
"ZNF766",0.266694852777416,1.41893104572794e-05,-4.65295156485958e-15,0.00872892514579292,0.999920656115761,0,0,NA,NA,NA,NA
"GPR137",-0.366961781123594,1.42484344694812e-05,2.80207678793699e-15,0.0120061888160239,0.999943225806265,0,0,NA,NA,NA,NA
"TMEM126A",0.304386098137322,1.45365465718807e-05,-5.21420253182708e-15,0.00994098291996951,0.999930884432177,0,0,NA,NA,NA,NA
"DEPDC5",-0.428173797711195,1.46822896292579e-05,1.9831795954385e-15,0.0139712565928198,0.999951808028186,0,0,NA,NA,NA,NA
"SMC1A",0.399853165720987,1.50186468605389e-05,3.0416181435658e-15,0.0130206031051327,0.999948163960863,0,0,NA,NA,NA,NA
"PITRM1",0.474416681261071,1.52867211683957e-05,2.78536460033498e-15,0.0154240398494565,0.999956823007053,0,0,NA,NA,NA,NA
"PDE6G",-0.493498085600809,1.56712494512621e-05,-4.23375419250917e-15,0.016008460000005,0.999958618440332,0,0,NA,NA,NA,NA
"EIF3A",0.305083037760615,1.60348724555308e-05,2.41769647309076e-15,0.00987599353232939,0.999931049763877,0,0,NA,NA,NA,NA
"MAP6D1",0.461699028471024,1.61959302962066e-05,-4.87995877978688e-15,0.0149323579810489,0.999955543942683,0,0,NA,NA,NA,NA
"FANCM",0.384007401107503,1.6269403726042e-05,-2.05002834584654e-15,0.0124145443737385,0.999945890554821,0,0,NA,NA,NA,NA
"ZNF93",0.419676052570821,1.64898876224018e-05,-2.27285751387334e-15,0.0135511096332908,0.999950766254091,0,0,NA,NA,NA,NA
"NUBPL",0.38945297958807,1.65618108625911e-05,-1.12528729853533e-15,0.0125702535297159,0.999946692700686,0,0,NA,NA,NA,NA
"C1orf50",-0.218985292551429,1.67578057364937e-05,-4.45101263133529e-15,0.00706056695476296,0.999902660016028,0,0,NA,NA,NA,NA
"SMARCAL1",0.209584840243978,1.69081299443158e-05,-1.77706261501372e-15,0.00675198795543453,0.999898147943977,0,0,NA,NA,NA,NA
"NAPG",-0.349520206943272,1.70380614399718e-05,-9.45631281813725e-16,0.0112523025830605,0.999940230120307,0,0,NA,NA,NA,NA
"RAP2A",0.413893876920537,1.72507489238233e-05,2.9385596533534e-15,0.013309665793514,0.999950032936339,0,0,NA,NA,NA,NA
"RNF146",-0.311022017528692,1.74569788796582e-05,2.35084772268272e-15,0.00999075824903285,0.999932428578888,0,0,NA,NA,NA,NA
