"Gene","BIOS","adjP","AUC_train","Em","Es"
"LINC02913",0.235389004664136,0.437768046303958,0.404320987654321,0,0
"LINC01503",0.336742942462638,0.0316498522239783,0.753086419753086,0,0
"LOC107987038",0.25390059858203,0.532594703354402,0.472222222222222,0,0
"LOC105376291",0.270106391195365,0.86806570786895,0.530864197530864,0,0
"LINC00963",0.370176183241835,0.00149696948577256,0.861111111111111,0,0
"LOC105376292",0.58253243380628,0.0715210392099413,0.682098765432099,1,0.33
"NTMT1",0.378420729008336,0.000606440564605968,0.888888888888889,0,0
"C9orf50",0.356638487885127,0.00917182900492327,0.807098765432099,0,0
"ASB6",0.31691362162045,0.120192748501459,0.697530864197531,0,0
"PRRX2",0.346736669004165,0.0181039704262947,0.787037037037037,0,0
"PRRX2-AS1",0.253921235554458,0.532594703354402,0.472222222222222,0,0
"PTGES",0.30631997684457,0.122775253504412,0.654320987654321,0,0
"TOR1B",0.275290242666109,0.671426089734198,0.549382716049383,0,0
"TOR1A",0.297597539898021,0.35659999769876,0.62962962962963,0,0
"C9orf78",0.295074251749738,0.314544829363515,0.62037037037037,0,0
"USP20",0.27607247871733,0.931467738224589,0.552469135802469,0,0
"MIR6855",0.283894121345491,0.622268647803991,0.580246913580247,0,0
"FNBP1",0.363947563548105,0.0128515282560102,0.848765432098765,0,0
"GPR107",0.287066290710292,0.271251036676282,0.591049382716049,0,0
"GPRACR",0.297253282632293,0.444908293576324,0.626543209876543,0,0
"NCS1",0.612771998973294,0.0972377427369092,0.79320987654321,1,0.33
"MIR12126",0.261538461538462,0.999999999999999,0.5,0,0
"HMCN2",0.603647254632184,0.0383891651749208,0.753086419753086,1,0.33
"LOC107987134",0.572328025643315,0.191268505012591,0.654320987654321,1,0.33
"ASS1",0.253010969769427,0.883082429228296,0.469135802469136,0,0
"LOC100272217",0.383111343791584,0.00043778873193227,0.888888888888889,0,0
"FUBP3",0.336681320854293,0.0176932345529016,0.765432098765432,0,0
"MIR6856",0.269673139117272,0.887858521978422,0.529320987654321,0,0
"PRDM12",0.367917215181187,0.0032356577674173,0.841049382716049,0,0
"EXOSC2",0.355496141859838,0.00162966393238774,0.814814814814815,0,0
"ABL1",0.275213675213675,0.999999999999999,0.549382716049383,0,0
"QRFP",0.292603528409959,0.532594703354402,0.611111111111111,0,0
"FIBCD1",0.302942490511375,0.650126466128842,0.648148148148148,0,0
"FIBCD1-AS1",0.250183763266105,0.724063152674647,0.458333333333333,0,0
"LAMC3",0.369300843747128,0.0015565440476985,0.845679012345679,0,0
"AIF1L",0.269230769230769,0.999999999999999,0.527777777777778,0,0
