"draw","MinMedian","Jaccard_vs_equal","Ec","Ep","Em","Es","Ex"
57,0.923583605494175,1,0.198356716590789,0.480966712325056,0.102434832188244,0.18257107703039,0.0356706618655211
58,0.923583605494175,0.904761904761905,0.180607861257641,0.202968915096068,0.0428819638232956,0.237179027757493,0.336362232065503
59,0.930555555555556,0.6,0.0950057748631754,0.490945351239447,0.360979140360447,0.00973304044154016,0.0433366930953898
60,0.926670025247261,0.666666666666667,0.623796026232698,0.164963366746213,0.0284938326100555,0.106642256506296,0.0761045179047373
61,0.923583605494175,1,0.181842968361843,0.417023065511415,0.0716148008012208,0.210999329704267,0.118519835621255
62,0.926670025247261,0.904761904761905,0.239950171547271,0.119959250041283,0.372473932472354,0.149184455013143,0.118432190925949
63,0.921200750469043,0.666666666666667,0.00547501252192305,0.224190249931558,0.193153966440346,0.21810827853593,0.359072492570242
64,0.91963727329581,0.739130434782609,0.0495057262061903,0.531439540183126,0.0137334028742021,0.320485748613402,0.0848355821230793
65,0.926670025247261,0.739130434782609,0.0418098092131996,0.386094711568518,0.0912058056801325,0.133260326949145,0.347629346589005
66,0.91963727329581,0.739130434782609,0.106531954983595,0.457540314914521,0.127247277873173,0.252568401317795,0.056112050910916
67,0.926670025247261,0.904761904761905,0.156569218659284,0.13708090978981,0.384765156913131,0.145214179988926,0.176370534648849
68,0.926670025247261,0.666666666666667,0.308473359556108,0.565283185023246,0.0521331368979737,0.0544852956130776,0.0196250229095947
69,0.921200750469043,0.818181818181818,0.121200275031099,0.123446124361556,0.549089021098845,0.17258194688852,0.0336826326199804
70,0.930555555555556,0.818181818181818,0.0334383407044209,0.582769382311723,0.3056508313464,0.0163104285209082,0.0618310171165483
71,0.926670025247261,0.6,0.722437265282426,0.0302250884247277,0.141370576167549,0.0841191055734435,0.0218479645518543
72,0.91963727329581,0.739130434782609,0.0662912525833302,0.0751780512406594,0.395683527257729,0.43370436345365,0.0291428054646315
73,0.923583605494175,0.904761904761905,0.155934615117315,0.140012862580198,0.0532995317264951,0.284168358299398,0.366584632276594
74,0.923583605494175,1,0.117262185225629,0.0718279219379695,0.63548709708873,0.103928569941069,0.0714942258066029
75,0.91963727329581,0.739130434782609,0.237347845759726,0.0800219267167125,0.00023866258850686,0.64436667038264,0.0380248945524142
76,0.926670025247261,0.666666666666667,0.693561841920469,0.139307142507341,0.00672147926111654,0.153785735954192,0.00662380035688206
77,0.923583605494175,1,0.349139222029841,0.102164390521898,0.0346211829617458,0.361123517633182,0.152951686853333
78,0.930555555555556,0.739130434782609,0.039760372277155,0.623665649225879,0.0155484027363455,0.0341225944566893,0.286902981303931
79,0.926670025247261,0.904761904761905,0.371319382460837,0.0277091925345913,0.0561744092684353,0.292580739637823,0.252216276098313
80,0.930555555555556,0.538461538461538,0.311989218418958,0.154278975121166,0.0470817927111737,0.0217909721519124,0.46485904159679
81,0.926670025247261,0.904761904761905,0.162373888043334,0.244512797085069,0.253165681311436,0.0955697573245533,0.244377876235608
82,0.923583605494175,0.904761904761905,0.025851028032629,0.230132944071579,0.559143733698711,0.0653081750996491,0.119564119097432
83,0.91963727329581,0.739130434782609,0.0711159831198057,0.433265718401828,0.257682065621375,0.213787507240041,0.0241487256169497
84,0.926670025247261,0.818181818181818,0.0671992189427604,0.443472971456081,0.0227701574178945,0.0609728882956526,0.405584763887612
85,0.91963727329581,0.739130434782609,0.174766547051836,0.16439127642074,0.142032548403482,0.39182964466438,0.126979983459563
86,0.921200750469043,0.818181818181818,0.0926146215058863,0.243853296723094,0.0273066312217196,0.349077945218086,0.287147505331214
87,0.932098765432099,0.538461538461538,0.072302543839219,0.223429012129535,0.538327111480406,0.000627412454165517,0.165313920096675
88,0.91963727329581,0.739130434782609,0.115737604320255,0.197611418614277,0.481312594987399,0.202914678906296,0.00242370317177274
89,0.922645519190235,0.904761904761905,0.154513173098382,0.226296812100579,0.242919455365949,0.225104503551907,0.151166055883184
90,0.926670025247261,0.904761904761905,0.105063564402357,0.140072141514602,0.141839556401304,0.154137465824739,0.458887271856997
91,0.930555555555556,0.666666666666667,0.388604677796482,0.215663923750773,0.0568227383504375,0.159747010671741,0.179161649430567
92,0.926670025247261,0.666666666666667,0.557459278959205,0.272870924328135,0.0759912333642133,0.0841788210767617,0.00949974227168525
93,0.926670025247261,0.739130434782609,0.591221222070198,0.0169375763812871,0.0864271393993637,0.287332485438893,0.0180815767102589
94,0.926670025247261,0.666666666666667,0.268878081111987,0.141227960379544,0.418714078421297,0.118182560833674,0.0529973192534982
95,0.926670025247261,0.904761904761905,0.212537213199185,0.027203509845897,0.259459110031656,0.184715740054168,0.316084426869093
96,0.926670025247261,0.904761904761905,0.495822378742226,0.027382671710565,0.0104681099748804,0.266657687476849,0.199669152095479
97,0.91963727329581,0.739130434782609,0.0229163280824549,0.616046356212581,0.120943600132128,0.162975951920604,0.0771177636522323
98,0.926670025247261,0.904761904761905,0.255640813422318,0.0253407669237718,0.287632787714486,0.213188428893745,0.218197203045679
99,0.926670025247261,0.666666666666667,0.41503471446227,0.0330187714445504,0.286568221125561,0.188460045400238,0.07691824756738
100,0.923583605494175,1,0.232196526791572,0.295046932229043,0.272703068384558,0.180495563163927,0.0195579094309005
101,0.926670025247261,0.904761904761905,0.232381841559651,0.114052304133439,0.148539837217884,0.140392739307961,0.364633277781065
102,0.91963727329581,0.739130434782609,0.0868372536168744,0.335266150492637,0.316285394941547,0.218257230858862,0.0433539700900792
103,0.923583605494175,0.904761904761905,0.14935102625951,0.0351471254596842,0.144118530441421,0.265642642365027,0.405740675474357
104,0.921200750469043,0.818181818181818,0.226035727409436,0.191407834185958,0.30529540211314,0.254997158517567,0.0222638777739003
105,0.923583605494175,1,0.366405702466426,0.200158385717661,0.0448998733341755,0.282249919779163,0.106286118702575
106,0.926670025247261,0.904761904761905,0.0853631350244982,0.384912239476338,0.0608348766055255,0.141242486312009,0.327647262581629
107,0.923583605494175,1,0.394730811799602,0.134822836559364,0.0695689594470947,0.310349938305685,0.0905274538882538
108,0.91963727329581,0.739130434782609,0.0145236112145243,0.466839201819788,0.094180623404387,0.408779814139213,0.0156767494220872
109,0.930555555555556,0.6,0.395765224576156,0.192996109883032,0.122005914419562,0.0703156765121573,0.218917074609092
110,0.923583605494175,1,0.281633764493455,0.00994729389939609,0.283981143154315,0.254459479755928,0.169978318696906
111,0.930555555555556,0.666666666666667,0.341712217320639,0.169758276318516,0.0782086035062479,0.122564526928109,0.287756375926488
112,0.91963727329581,0.739130434782609,0.107538577351542,0.332807214912459,0.0333712068839548,0.43084162105903,0.095441379793014
113,0.932098765432099,0.6,0.241181336477247,0.213809374070148,0.00351262969988215,0.0555773853210041,0.485919274431719
114,0.923583605494175,0.904761904761905,0.372805461841093,0.200432692091095,0.106369565588881,0.255795575204686,0.0645967052742447
115,0.926670025247261,0.818181818181818,0.396965338794075,0.0595443326808234,0.0715970463538566,0.190307950473717,0.281585331697528
116,0.91963727329581,0.739130434782609,0.0794099949270315,0.384000990252059,0.0816167984733458,0.435699878088128,0.0192723382594355
117,0.930555555555556,0.6,0.0703670553140433,0.582789786007363,0.332524938010997,0.0047328651611574,0.00958535550643964
118,0.930555555555556,0.6,0.127743563973058,0.246349428568108,0.41460375904924,0.0282471454964691,0.183056102913124
119,0.921200750469043,0.739130434782609,0.0582239452287055,0.00961348671174645,0.188183352524471,0.345678509014534,0.398300706520543
120,0.921200750469043,0.666666666666667,0.0269906023581468,0.0412764131646266,0.431363832329948,0.196220705387502,0.304148446759777
