"Gene","adjP_Condition","Ec","Ep","Em","Es","Ex","AUC_Microarray","AUC_RNAseq","Ex_train"
"LOC100128288",0.0127911016666873,0.00843039416478041,0.999979477749258,0,0,0.50990099009901,0.747619047619048,0.694444444444445,0.56198347107438
"CLEC4G",0.0894888452130932,0.00290395284008018,0.999965435303485,1,0.33,0.267715700141443,0.543452380952381,0.768518518518518,0.207644628099174
"ELFN2",0.952272235033963,1.53781356675487e-06,0.99858095767921,1,0.33,0.376237623762376,0.654761904761905,0.611111111111111,0.400826446280992
"ABI3BP",9.8667201105063e-15,0.163849219542511,0.999993794473641,1,0.33,0.777227722772277,0.977380952380952,0.861111111111111,0.960743801652893
"ACKR3",0.00687850544852508,0.00644740492060918,0.999968066475904,0,0,0.168316831683168,0.814285714285714,0.481481481481482,0.677685950413223
"RRP12",1.85728581355103e-13,0.0797220836387127,0.999986154751142,0,0,0.836633663366337,0.928571428571429,0.898148148148148,0.87603305785124
"LOC101928047",0.0137668281170287,0.00847757922217684,0.999979994082615,0,0,0.475247524752475,0.738690476190476,0.672839506172839,0.546487603305785
"NOC2L",2.11187364490531e-07,0.0207473314617175,0.999969472975619,0,0,0.727722772277228,0.8625,0.830246913580247,0.761363636363636
"RAB6A",0.0106583737290363,0.00648685864275757,0.999971294764057,0,0,0.47029702970297,0.769047619047619,0.669753086419753,0.599173553719008
"PRKXP1",4.23787501109415e-05,0.0221466522304614,0.999982268072316,0,0,0.66966053748232,0.794047619047619,0.802469135802469,0.642561983471074
"CLEC4GP1",0.0178376893679394,0.00580724514774866,0.999971596349677,0,0,0.40997171145686,0.632142857142857,0.771604938271605,0.361570247933884
"PSEN1",1.1499171320527e-15,0.0641807043432278,0.999978632155437,0,0,0.772277227722772,1,0.858024691358025,1
"ST7-OT4",0.00760948244265366,0.00929084807842232,0.999979119500727,0,0,0.534087694483734,0.70952380952381,0.75,0.495867768595041
"LINC01013",0.0145192185900776,0.00554580016718432,0.999968475667583,0,0,0.325954738330976,0.579761904761905,0.830246913580247,0.270661157024793
"CLU",0.000782959376764033,0.0147858107481924,0.99998096749231,1,0.33,0.591584158415842,0.794047619047619,0.74537037037037,0.642561983471074
"LOC100507053",0.0155707051893558,0.0059521067498661,0.999971329833494,0,0,0.538861386138614,0.7125,0.740740740740741,0.50103305785124
"ZC3H12D",1.1739608406189e-05,0.0240468267183918,0.999981487641435,0,0,0.5,0.917857142857143,0.688271604938272,0.857438016528926
"SKIDA1",0.323868811281169,0.000758219892512786,0.999936117861987,1,0.33,0.24002828854314,0.526190476190476,0.75,0.177685950413223
"ZFHX4",0.0121090484533825,0.00528875104743299,0.999965282986215,1,0.33,0.489214992927864,0.681547619047619,0.771604938271605,0.447314049586777
"PCAT18",0.0224525408950094,0.00658934790818931,0.999976836618522,1,0.33,0.377510608203678,0.611904761904762,0.743827160493827,0.326446280991736
"APELA",0.00145360386183711,0.0182480757960232,0.999986586591154,0,0,0.419519094766619,0.638095238095238,0.91358024691358,0.371900826446281
"SYT7",4.14310883183138e-08,0.0525494893983392,0.999988131635708,0,0,0.608910891089109,0.914285714285714,0.756172839506173,0.851239669421488
"ACKR2",5.11988280635783e-06,0.019249715878948,0.99997430058254,0,0,0.511173974540311,0.695238095238095,0.922839506172839,0.471074380165289
